anio,id_jurisdiccion,provincia,nacimientos_cantidad,poblacion,tgf
2012,6.0,buenos_aires,289720,16100397,2.22574160856302
2012,2.0,capital_federal,45013,3038860,1.86813644402408
2012,10.0,catamarca,6485,385408,2.06260550566095
2012,22.0,chaco,22829,1105280,2.36355482975892
2012,26.0,chubut,9725,534945,2.2404931331002
2012,14.0,cordoba,57501,3450673,2.08429309945719
2012,18.0,corrientes,19723,1038786,2.28174270550655
2012,30.0,entre_rios,22117,1281931,2.21793961277962
2012,34.0,formosa,11826,562794,2.64444628704004
2012,38.0,jujuy,12987,701252,2.2487377062773
2012,42.0,la_pampa,5368,333496,2.17094895746498
2012,46.0,la_rioja,6168,342549,2.08131466736927
2012,50.0,mendoza,33069,1819608,2.33138047022318
2012,54.0,misiones,25984,1144189,2.68247726829264
2012,58.0,neuquen,11444,591422,2.31266901581757
2012,62.0,rio_negro,11864,668663,2.24965873061157
2012,66.0,salta,26995,1277062,2.57707997224566
2012,70.0,san_juan,14464,713240,2.61911167597437
2012,74.0,san_luis,7684,456924,2.13973023145173
2012,78.0,santa_cruz,5924,293407,2.35482810793123
2012,82.0,santa_fe,54235,3313212,2.06897278167386
2012,86.0,santiago_del_estero,18464,898484,2.19908532419696
2012,94.0,tierra_del_fuego,2790,136973,2.34384451179031
2012,90.0,tucuman,28857,1530689,2.32401953500845
2013,6.0,buenos_aires,290116,16289508,2.29317323087807
2013,2.0,capital_federal,44892,3044076,1.86966986636703
2013,10.0,catamarca,6648,389256,2.11778495122315
2013,22.0,chaco,22583,1117953,2.35716202620098
2013,26.0,chubut,10037,545656,2.29696471113354
2013,14.0,cordoba,58296,3489669,2.05223099097433
2013,18.0,corrientes,19659,1049325,2.26262080309502
2013,30.0,entre_rios,22391,1295121,2.24373110271953
2013,34.0,formosa,11580,568331,2.5921234655772
2013,38.0,jujuy,12909,710121,2.25307306070677
2013,42.0,la_pampa,5605,336706,2.25770569011364
2013,46.0,la_rioja,6347,347598,2.02589178855204
2013,50.0,mendoza,33353,1841813,2.40898412064986
2013,54.0,misiones,25983,1159445,2.66091629900971
2013,58.0,neuquen,11478,601003,2.31047370639194
2013,62.0,rio_negro,12001,678797,2.2846925291789
2013,66.0,salta,27465,1295944,2.57725216763767
2013,70.0,san_juan,14924,721830,2.66492205353737
2013,74.0,san_luis,7806,463411,2.12522238202837
2013,78.0,santa_cruz,5997,302420,2.36318160927986
2013,82.0,santa_fe,56165,3341228,2.14394445744551
2013,86.0,santiago_del_estero,18205,908268,2.27237196760202
2013,94.0,tierra_del_fuego,2851,141544,2.40075237053782
2013,90.0,tucuman,29445,1551460,2.32424299770038
2014,6.0,buenos_aires,293943,16476201,2.31538236641182
2014,2.0,capital_federal,44754,3049229,1.87819164921446
2014,10.0,catamarca,7032,393088,2.16910039579754
2014,22.0,chaco,24728,1130608,2.38592650876645
2014,26.0,chubut,9678,556319,2.2297279149481
2014,14.0,cordoba,60047,3528687,2.13931891024832
2014,18.0,corrientes,21038,1059836,2.3385992057822
2014,30.0,entre_rios,23208,1308290,2.31398490168266
2014,34.0,formosa,12190,573823,2.6844345839568
2014,38.0,jujuy,13689,718971,2.37923747039015
2014,42.0,la_pampa,5548,339895,2.2322602036651
2014,46.0,la_rioja,6303,352696,1.98173626049234
2014,50.0,mendoza,35598,1863809,2.49473601917735
2014,54.0,misiones,27760,1174542,2.81014801432411
2014,58.0,neuquen,11864,610449,2.44246014917502
2014,62.0,rio_negro,12268,688873,2.30183419118715
2014,66.0,salta,28482,1314726,2.62921449000971
